"","ID","SentType","Verb","Token","SentNumber","Group","RT","N","Embedded","order","goal","study","Value","logRT"
"1"," 18874","T1","know","pigs",2,"C",634,1,1,1,"none","bn","Disagree",6.45204895443723
"2"," 18874","T1","none","chameleons",1,"C",579,1,0,1,"none","bn","Disagree",6.361302477573
"3"," 18874","T1","none","dogs",1,"C",274,1,0,1,"none","bn","Agree",5.61312810638807
"4"," 18874","T1","say","elephants",3,"C",238,1,1,1,"none","bn","Agree",5.47227067367148
"5"," 18874","T2","know","ants",8,"C",276,1,1,1,"none","bn","Agree",5.62040086571715
"6"," 18874","T2","know","piranhas",8,"C",466,1,1,1,"none","bn","Agree",6.14418563412565
"7"," 18874","T2","say","flies",9,"C",293,1,1,1,"none","bn","Agree",5.68017260901707
"8"," 18874","T3","know","anchovies",5,"C",272,1,1,1,"none","bn","Disagree",5.605802066296
"9"," 18874","T3","know","wasps",5,"C",310,1,1,1,"none","bn","Disagree",5.73657229747919
"10"," 18874","T3","none","geckos",4,"C",406,1,0,1,"none","bn","Disagree",6.00635315960173
"11"," 18874","T3","none","sheep",4,"C",399,1,0,1,"none","bn","Disagree",5.98896141688986
"12"," 18874","T3","say","carp",6,"C",663,1,1,1,"none","bn","Disagree",6.49677499018586
"13"," 18874","T3","say","cockroaches",6,"C",570,1,1,1,"none","bn","Disagree",6.3456363608286
"14"," 18874","T4","know","eagles",11,"C",210,1,1,1,"none","bn","Agree",5.34710753071747
"15"," 18874","T4","none","mosquitos",10,"C",323,1,0,1,"none","bn","Agree",5.77765232322266
"16"," 18874","T4","say","bananas",12,"C",211,1,1,1,"none","bn","Agree",5.35185813347607
"17"," 18874","T5","know","alligators",17,"C",242,1,1,1,"none","bn","Disagree",5.48893772615669
"18"," 18874","T5","none","doves",16,"C",266,1,0,1,"none","bn","Disagree",5.5834963087817
"19"," 18874","T5","none","plums",16,"C",386,1,0,1,"none","bn","Disagree",5.95583736946483
"20"," 18874","T5","say","crocodiles",18,"C",1307,1,1,1,"none","bn","Disagree",7.17548971362422
"21"," 18874","T5","say","horses",18,"C",229,1,1,1,"none","bn","Disagree",5.43372200355424
"22"," 18874","T6","know","owls",14,"C",269,1,1,1,"none","bn","Disagree",5.59471137960184
"23"," 18874","T6","none","apples",13,"C",605,1,0,1,"none","bn","Disagree",6.40522845803084
"24"," 18874","T6","none","crows",13,"C",778,1,0,1,"none","bn","Disagree",6.65672652417839
"25"," 18874","T6","say","pears",15,"C",299,1,1,1,"none","bn","Disagree",5.70044357339069
"26"," 18874","T6","say","sparrows",15,"C",312,1,1,1,"none","bn","Disagree",5.74300318780948
"27"," 19663","T1","know","crocodiles",2,"A",662,1,1,1,"none","bn","Agree",6.49526555593701
"28"," 19663","T1","know","horses",2,"A",634,1,1,1,"none","bn","Agree",6.45204895443723
"29"," 19663","T1","none","alligators",1,"A",2477,1,0,1,"none","bn","Agree",7.81480342948936
"30"," 19663","T1","none","cats",1,"A",529,1,0,1,"none","bn","Agree",6.2709884318583
"31"," 19663","T1","say","chameleons",3,"A",1255,1,1,1,"none","bn","Agree",7.13489085156588
"32"," 19663","T1","say","dogs",3,"A",882,1,1,1,"none","bn","Agree",6.78219205600679
"33"," 19663","T2","know","carp",8,"A",791,1,1,1,"none","bn","Agree",6.67329796776765
"34"," 19663","T2","know","cockroaches",8,"A",2240,1,1,1,"none","bn","Agree",7.71423114484909
"35"," 19663","T2","none","anchovies",7,"A",793,1,0,1,"none","bn","Agree",6.67582322163485
"36"," 19663","T2","none","wasps",7,"A",1628,1,0,1,"none","bn","Agree",7.39510754656249
"37"," 19663","T2","say","cicadas",9,"A",1017,1,1,1,"none","bn","Agree",6.92461239604856
"38"," 19663","T2","say","cod",9,"A",881,1,1,1,"none","bn","Agree",6.78105762593618
"39"," 19663","T3","know","elephants",5,"A",1028,1,1,1,"none","bn","Disagree",6.93537044601511
"40"," 19663","T3","know","lizards",5,"A",673,1,1,1,"none","bn","Disagree",6.51174532964473
"41"," 19663","T3","none","iguanas",4,"A",2242,1,0,1,"none","bn","Disagree",7.71512360363211
"42"," 19663","T3","say","geckos",6,"A",593,1,1,1,"none","bn","Disagree",6.38519439899773
"43"," 19663","T3","say","sheep",6,"A",567,1,1,1,"none","bn","Disagree",6.34035930372775
"44"," 19663","T4","know","flies",11,"A",1016,1,1,1,"none","bn","Agree",6.92362862813843
"45"," 19663","T4","know","mackerels",11,"A",1205,1,1,1,"none","bn","Agree",7.09423484592476
"46"," 19663","T4","none","ants",10,"A",1933,1,0,1,"none","bn","Agree",7.56682847920833
"47"," 19663","T4","none","piranhas",10,"A",1258,1,0,1,"none","bn","Agree",7.13727843726039
"48"," 19663","T4","say","herring",12,"A",517,1,1,1,"none","bn","Agree",6.24804287450843
"49"," 19663","T4","say","mosquitos",12,"A",2677,1,1,1,"none","bn","Agree",7.89245204352035
"50"," 19663","T6","know","bananas",14,"A",480,1,1,1,"none","bn","Disagree",6.17378610390194
