"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","Quantifier","Matrix","WhichCategory","Subject","Predicate","SentType","Verb","Embedded","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"1",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589284324302,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MA"
"2",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589284328992,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MA"
"3",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",1,0,"consent","NULL","PennController","1","_Trial_","Start",1589284328997,"A1YILFU07P6DND","NULL","","","","","","","","",NA,"","","","","","bn","1","MA"
"4",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",1,0,"consent","NULL","TextInput","ID","Final","A1YILFU07P6DND",1589284341835,"A1YILFU07P6DND","NULL","","","","","","","","",NA,"","","","","","bn","1","MA"
"5",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",1,0,"consent","NULL","PennController","1","_Trial_","End",1589284341835,"A1YILFU07P6DND","NULL","","","","","","","","",NA,"","","","","","bn","1","MA"
"6",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,0,"demo","NULL","PennController","2","_Trial_","Start",1589284341838,"English","","Laptop","NULL","","","","","","",NA,"","","","","","bn","1","MA"
"7",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,0,"demo","NULL","TextInput","NativeLang","Final","English",1589284353448,"English","","Laptop","NULL","","","","","","",NA,"","","","","","bn","1","MA"
"8",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,0,"demo","NULL","TextInput","NativeLang","First","",1589284344523,"English","","Laptop","Shift","","","","","","",NA,"","","","","","bn","1","MA"
"9",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,0,"demo","NULL","TextInput","Device","Final","Laptop",1589284353448,"English","","Laptop","NULL","","","","","","",NA,"","","","","","bn","1","MA"
"10",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,0,"demo","NULL","TextInput","Device","First","",1589284349599,"English","","Laptop","Shift","","","","","","",NA,"","","","","","bn","1","MA"
"11",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",2,0,"demo","NULL","PennController","2","_Trial_","End",1589284353448,"English","","Laptop","NULL","","","","","","",NA,"","","","","","bn","1","MA"
"12",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","Start",1589284353451,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MA"
"13",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","End",1589284360750,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MA"
"14",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",4,0,"Train_simple","NULL","PennController","7","_Trial_","Start",1589284360752,"A1YILFU07P6DND","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"15",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",4,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Agree",1589284367578,"A1YILFU07P6DND","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"16",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",4,0,"Train_simple","NULL","PennController","7","_Trial_","End",1589284367581,"A1YILFU07P6DND","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"17",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",5,0,"Train_simple","NULL","PennController","8","_Trial_","Start",1589284367583,"A1YILFU07P6DND","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"18",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",5,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1589284370344,"A1YILFU07P6DND","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"19",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",5,0,"Train_simple","NULL","PennController","8","_Trial_","End",1589284370345,"A1YILFU07P6DND","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"20",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",6,0,"Train_simple","NULL","PennController","9","_Trial_","Start",1589284370348,"A1YILFU07P6DND","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"21",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",6,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Agree",1589284373137,"A1YILFU07P6DND","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"22",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",6,0,"Train_simple","NULL","PennController","9","_Trial_","End",1589284373138,"A1YILFU07P6DND","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"23",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",7,0,"Train_simple","NULL","PennController","10","_Trial_","Start",1589284373140,"A1YILFU07P6DND","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"24",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",7,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1589284375661,"A1YILFU07P6DND","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
"25",1589284533,"4812dc1d9b9a460038e3d2d89e7b32a0","PennController",7,0,"Train_simple","NULL","PennController","10","_Trial_","End",1589284375662,"A1YILFU07P6DND","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MA"
