"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","WhichCategory","Matrix","Subject","Predicate","SentType","Negation","CompTruth","SubStat","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"1",1589215210,"002278de841a3d958f419565630e9881","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589215013077,"NULL","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"2",1589215210,"002278de841a3d958f419565630e9881","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589215020457,"NULL","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"3",1589215210,"002278de841a3d958f419565630e9881","PennController",1,0,"consent","NULL","PennController","1","_Trial_","Start",1589215020465,"AE63GABJL0FGJ","NULL","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"4",1589215210,"002278de841a3d958f419565630e9881","PennController",1,0,"consent","NULL","TextInput","ID","First","",1589215029998,"AE63GABJL0FGJ","Control","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"5",1589215210,"002278de841a3d958f419565630e9881","PennController",1,0,"consent","NULL","TextInput","ID","Final","AE63GABJL0FGJ",1589215035208,"AE63GABJL0FGJ","NULL","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"6",1589215210,"002278de841a3d958f419565630e9881","PennController",1,0,"consent","NULL","PennController","1","_Trial_","End",1589215035209,"AE63GABJL0FGJ","NULL","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"7",1589215210,"002278de841a3d958f419565630e9881","PennController",2,0,"demo","NULL","PennController","2","_Trial_","Start",1589215035215,"English","","Laptop","NULL","","","","",NA,NA,"","","","","","","cb","2","MA"
"8",1589215210,"002278de841a3d958f419565630e9881","PennController",2,0,"demo","NULL","TextInput","NativeLang","First","",1589215037803,"English","","Laptop","Shift","","","","",NA,NA,"","","","","","","cb","2","MA"
"9",1589215210,"002278de841a3d958f419565630e9881","PennController",2,0,"demo","NULL","TextInput","Device","First","",1589215042489,"English","","Laptop","Shift","","","","",NA,NA,"","","","","","","cb","2","MA"
"10",1589215210,"002278de841a3d958f419565630e9881","PennController",2,0,"demo","NULL","TextInput","NativeLang","Final","English",1589215050473,"English","","Laptop","NULL","","","","",NA,NA,"","","","","","","cb","2","MA"
"11",1589215210,"002278de841a3d958f419565630e9881","PennController",2,0,"demo","NULL","TextInput","Device","Final","Laptop",1589215050474,"English","","Laptop","NULL","","","","",NA,NA,"","","","","","","cb","2","MA"
"12",1589215210,"002278de841a3d958f419565630e9881","PennController",2,0,"demo","NULL","PennController","2","_Trial_","End",1589215050475,"English","","Laptop","NULL","","","","",NA,NA,"","","","","","","cb","2","MA"
"13",1589215210,"002278de841a3d958f419565630e9881","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","Start",1589215050482,"NULL","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"14",1589215210,"002278de841a3d958f419565630e9881","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","End",1589215061160,"NULL","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"15",1589215210,"002278de841a3d958f419565630e9881","PennController",4,0,"Train_simple","NULL","PennController","7","_Trial_","Start",1589215061164,"AE63GABJL0FGJ","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"16",1589215210,"002278de841a3d958f419565630e9881","PennController",4,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Agree",1589215066555,"AE63GABJL0FGJ","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"17",1589215210,"002278de841a3d958f419565630e9881","PennController",4,0,"Train_simple","NULL","PennController","7","_Trial_","End",1589215066561,"AE63GABJL0FGJ","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"18",1589215210,"002278de841a3d958f419565630e9881","PennController",5,0,"Train_simple","NULL","PennController","8","_Trial_","Start",1589215066566,"AE63GABJL0FGJ","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"19",1589215210,"002278de841a3d958f419565630e9881","PennController",5,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1589215070087,"AE63GABJL0FGJ","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"20",1589215210,"002278de841a3d958f419565630e9881","PennController",5,0,"Train_simple","NULL","PennController","8","_Trial_","End",1589215070091,"AE63GABJL0FGJ","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"21",1589215210,"002278de841a3d958f419565630e9881","PennController",6,0,"Train_simple","NULL","PennController","9","_Trial_","Start",1589215070099,"AE63GABJL0FGJ","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"22",1589215210,"002278de841a3d958f419565630e9881","PennController",6,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Agree",1589215073958,"AE63GABJL0FGJ","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"23",1589215210,"002278de841a3d958f419565630e9881","PennController",6,0,"Train_simple","NULL","PennController","9","_Trial_","End",1589215073963,"AE63GABJL0FGJ","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"24",1589215210,"002278de841a3d958f419565630e9881","PennController",7,0,"Train_simple","NULL","PennController","10","_Trial_","Start",1589215073969,"AE63GABJL0FGJ","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"25",1589215210,"002278de841a3d958f419565630e9881","PennController",7,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1589215076661,"AE63GABJL0FGJ","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"26",1589215210,"002278de841a3d958f419565630e9881","PennController",7,0,"Train_simple","NULL","PennController","10","_Trial_","End",1589215076666,"AE63GABJL0FGJ","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"27",1589215210,"002278de841a3d958f419565630e9881","PennController",8,0,"instructions2","NULL","PennController","4","_Trial_","Start",1589215076671,"NULL","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"28",1589215210,"002278de841a3d958f419565630e9881","PennController",8,0,"instructions2","NULL","PennController","4","_Trial_","End",1589215087406,"NULL","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"29",1589215210,"002278de841a3d958f419565630e9881","DashedSentence",9,0,"Train","NULL","Houses can be made of wood","","","",NA,"","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"30",1589215210,"002278de841a3d958f419565630e9881","PennController",9,1,"Train","NULL","PennController","11","_Trial_","Start",1589215089425,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"31",1589215210,"002278de841a3d958f419565630e9881","PennController",9,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1589215089434,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"32",1589215210,"002278de841a3d958f419565630e9881","PennController",9,1,"Train","NULL","Selector","unnamed-Selector","Selection","Agree",1589215092665,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"33",1589215210,"002278de841a3d958f419565630e9881","PennController",9,1,"Train","NULL","PennController","11","_Trial_","End",1589215092668,"AE63GABJL0FGJ","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
"34",1589215210,"002278de841a3d958f419565630e9881","DashedSentence",10,0,"Train","NULL","Airplanes fly under water","","","",NA,"","","","","","","","",NA,NA,"","","","","","","cb","2","MA"
"35",1589215210,"002278de841a3d958f419565630e9881","PennController",10,1,"Train","NULL","PennController","12","_Trial_","Start",1589215093990,"AE63GABJL0FGJ","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,NA,"","","","","","","cb","2","MA"
