"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","SentNumber","WhichCategory","Matrix","Subject","Predicate","SentType","Negation","CompTruth","SubStat","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal","Study"
"1",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589646062815,"A26NGLGGFTATVN","NULL","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"2",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","TextInput","ID","Final","A26NGLGGFTATVN",1589646067117,"A26NGLGGFTATVN","NULL","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"3",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589646067117,"A26NGLGGFTATVN","NULL","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"4",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","Start",1589646067120,"NULL","","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"5",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","End",1589646074855,"NULL","","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"6",1589646177,"1b84d3b862707daaad20ec99da71e5a1","DashedSentence",2,0,"Train","NULL","Houses can be made of wood","","","",NA,"","","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"7",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,1,"Train","NULL","PennController","4","_Trial_","Start",1589646076875,"A26NGLGGFTATVN","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"8",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1589646076877,"A26NGLGGFTATVN","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"9",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,1,"Train","NULL","Selector","unnamed-Selector","Selection","Agree",1589646077414,"A26NGLGGFTATVN","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"10",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,1,"Train","NULL","PennController","4","_Trial_","End",1589646077418,"A26NGLGGFTATVN","train_T","Houses can be made of wood","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"11",1589646177,"1b84d3b862707daaad20ec99da71e5a1","DashedSentence",3,0,"Train","NULL","Airplanes fly under water","","","",NA,"","","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"12",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,1,"Train","NULL","PennController","5","_Trial_","Start",1589646078729,"A26NGLGGFTATVN","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"13",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,1,"Train","NULL","Text","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","Print",NA,1589646078732,"A26NGLGGFTATVN","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"14",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,1,"Train","NULL","Selector","unnamed-Selector","Selection","Disagree",1589646080258,"A26NGLGGFTATVN","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"15",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,1,"Train","NULL","PennController","5","_Trial_","End",1589646080260,"A26NGLGGFTATVN","train_F","Airplanes fly under water","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"16",1589646177,"1b84d3b862707daaad20ec99da71e5a1","DashedSentence",4,0,"Train","NULL","Dinosaurs are extinct","","","",NA,"","","","","","","",NA,NA,"","","","","","","cb","1","MS",NA
"17",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",4,1,"Train","NULL","PennController","6","_Trial_","Start",1589646081223,"A26NGLGGFTATVN","train_T","Dinosaurs are extinct","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
"18",1589646177,"1b84d3b862707daaad20ec99da71e5a1","PennController",4,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1589646081229,"A26NGLGGFTATVN","train_T","Dinosaurs are extinct","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","",NA,NA,"","","","","","","cb","1","MS",NA
