"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","QuestType","WhichQuestion","WhichAnswer","verb","Matrix","ImageName","Group","Comments","study","order","goal"
"1",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589646165348,"A26NGLGGFTATVN","NULL",NA,"","","","","","","","q_ms","1","MS"
"2",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","TextInput","ID","Final","A26NGLGGFTATVN",1589646168670,"A26NGLGGFTATVN","NULL",NA,"","","","","","","","q_ms","1","MS"
"3",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589646168670,"A26NGLGGFTATVN","NULL",NA,"","","","","","","","q_ms","1","MS"
"4",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",1,0,"familiarize1","NULL","PennController","1","_Trial_","Start",1589646168672,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"5",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",1,0,"familiarize1","NULL","PennController","1","_Trial_","End",1589646173803,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"6",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"familiarize2","NULL","PennController","2","_Trial_","Start",1589646173804,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"7",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"familiarize2","NULL","PennController","2","_Trial_","End",1589646176702,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"8",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,0,"familiarize3","NULL","PennController","3","_Trial_","Start",1589646176703,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"9",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,0,"familiarize3","NULL","PennController","3","_Trial_","End",1589646178038,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"10",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",4,0,"familiarize4","NULL","PennController","4","_Trial_","Start",1589646178038,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"11",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",4,0,"familiarize4","NULL","PennController","4","_Trial_","End",1589646181173,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"12",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",5,0,"instructions1","NULL","PennController","5","_Trial_","Start",1589646181174,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"13",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",5,0,"instructions1","NULL","PennController","5","_Trial_","End",1589646183728,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"14",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",6,0,"instructions2","NULL","PennController","6","_Trial_","Start",1589646183731,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"15",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",6,0,"instructions2","NULL","PennController","6","_Trial_","End",1589646192128,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"16",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",7,0,"instructions3","NULL","PennController","7","_Trial_","Start",1589646192131,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"17",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",7,0,"instructions3","NULL","PennController","7","_Trial_","End",1589646202964,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"18",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",8,0,"trainF","NULL","PennController","8","_Trial_","Start",1589646202965,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"19",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",8,0,"trainF","NULL","Selector","unnamed-Selector","Selection","Disagree",1589646225411,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"20",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",8,0,"trainF","NULL","PennController","8","_Trial_","End",1589646225929,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"21",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",9,0,"trainT","NULL","PennController","9","_Trial_","Start",1589646225932,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"22",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",9,0,"trainT","NULL","Selector","unnamed-Selector","Selection","Agree",1589646234890,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"23",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",9,0,"trainT","NULL","PennController","9","_Trial_","End",1589646235396,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"24",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",10,0,"trainthink1","NULL","PennController","10","_Trial_","Start",1589646235400,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"25",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",10,0,"trainthink1","NULL","Selector","unnamed-Selector","Selection","Agree",1589646239708,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"26",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",10,0,"trainthink1","NULL","PennController","10","_Trial_","End",1589646240222,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"27",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",11,0,"trainthink2","NULL","PennController","11","_Trial_","Start",1589646240226,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"28",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",11,0,"trainthink2","NULL","Selector","unnamed-Selector","Selection","Disagree",1589646245114,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"29",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",11,0,"trainthink2","NULL","PennController","11","_Trial_","End",1589646245616,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"30",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",12,0,"end_train","NULL","PennController","12","_Trial_","Start",1589646245620,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"31",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",12,0,"end_train","NULL","PennController","12","_Trial_","End",1589646248368,"NULL","",NA,"","","","","","","","q_ms","1","MS"
"32",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",32,0,"trial","NULL","PennController","33","_Trial_","Start",1589646248369,"A26NGLGGFTATVN","Q",10,"NoMod","MS","know","Dana knows","face2.png","A","NULL","q_ms","1","MS"
"33",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",32,0,"trial","NULL","Selector","unnamed-Selector","Selection","Agree",1589646254049,"A26NGLGGFTATVN","Q",10,"NoMod","MS","know","Dana knows","face2.png","A","NULL","q_ms","1","MS"
"34",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",32,0,"trial","NULL","PennController","33","_Trial_","End",1589646254567,"A26NGLGGFTATVN","Q",10,"NoMod","MS","know","Dana knows","face2.png","A","NULL","q_ms","1","MS"
"35",1589646424,"1b84d3b862707daaad20ec99da71e5a1","PennController",26,0,"trial","NULL","PennController","27","_Trial_","Start",1589646254571,"A26NGLGGFTATVN","Q",7,"Mod","MA","say","Dana said","jack2.png","A","NULL","q_ms","1","MS"
