"","ID","QuestType","verb","WhichQuestion","WhichAnswer","Group","goal","RT","N","ImageName","order","study","Value"
"1"," 19663",1,"know","Mod","MO","L","none",8128.5,2,"ace2.png",NA,"qn","Agree"
"2"," 19663",1,"know","Mod","MO","L","none",8128.5,2,"ace1.png",NA,"qn","Disagree"
"3"," 19663",2,"know","Mod","MS","L","none",5472.5,2,"ten1.png",NA,"qn","Agree"
"4"," 19663",2,"know","Mod","MS","L","none",5472.5,2,"ten2.png",NA,"qn","Agree"
"5"," 19663",3,"know","Mod","MA","L","none",11505,2,"eight1.png",NA,"qn","Agree"
"6"," 19663",3,"know","Mod","MA","L","none",11505,2,"eight2.png",NA,"qn","Agree"
"7"," 19663",4,"know","Mod","MF","L","none",24815,2,"six2.png",NA,"qn","Disagree"
"8"," 19663",4,"know","Mod","MF","L","none",24815,2,"six1.png",NA,"qn","Disagree"
"9"," 19663",5,"say","Mod","MO","L","none",15221,2,"four2.png",NA,"qn","Agree"
"10"," 19663",5,"say","Mod","MO","L","none",15221,2,"four1.png",NA,"qn","Disagree"
"11"," 19663",6,"say","Mod","MS","L","none",7619.5,2,"red2.png",NA,"qn","Agree"
"12"," 19663",6,"say","Mod","MS","L","none",7619.5,2,"red1.png",NA,"qn","Agree"
"13"," 19663",7,"say","Mod","MA","L","none",5923,2,"black2.png",NA,"qn","Agree"
"14"," 19663",7,"say","Mod","MA","L","none",5923,2,"black1.png",NA,"qn","Agree"
"15"," 19663",8,"say","Mod","MF","L","none",6472,2,"spade2.png",NA,"qn","Disagree"
"16"," 19663",8,"say","Mod","MF","L","none",6472,2,"spade1.png",NA,"qn","Agree"
"17"," 19663",9,"know","NoMod","MO","L","none",9617,2,"club1.png",NA,"qn","Agree"
"18"," 19663",9,"know","NoMod","MO","L","none",9617,2,"club2.png",NA,"qn","Agree"
"19"," 19663",10,"know","NoMod","MS","L","none",7531,2,"diamond2.png",NA,"qn","Agree"
"20"," 19663",10,"know","NoMod","MS","L","none",7531,2,"diamond1.png",NA,"qn","Agree"
"21"," 19663",11,"know","NoMod","MA","L","none",10809,2,"hearts2.png",NA,"qn","Agree"
"22"," 19663",11,"know","NoMod","MA","L","none",10809,2,"hearts1.png",NA,"qn","Disagree"
"23"," 19663",12,"know","NoMod","MF","L","none",10308.5,2,"jack2.png",NA,"qn","Disagree"
"24"," 19663",12,"know","NoMod","MF","L","none",10308.5,2,"jack1.png",NA,"qn","Disagree"
"25"," 19663",13,"say","NoMod","MO","L","none",4062.5,2,"queen2.png",NA,"qn","Agree"
"26"," 19663",13,"say","NoMod","MO","L","none",4062.5,2,"queen1.png",NA,"qn","Agree"
"27"," 19663",14,"say","NoMod","MS","L","none",23903,2,"king1.png",NA,"qn","Agree"
"28"," 19663",14,"say","NoMod","MS","L","none",23903,2,"king2.png",NA,"qn","Disagree"
"29"," 19663",15,"say","NoMod","MA","L","none",8616,2,"face2.png",NA,"qn","Agree"
"30"," 19663",15,"say","NoMod","MA","L","none",8616,2,"face1.png",NA,"qn","Agree"
"31"," 19663",16,"say","NoMod","MF","L","none",13959,2,"number1.png",NA,"qn","Disagree"
"32"," 19663",16,"say","NoMod","MF","L","none",13959,2,"number2.png",NA,"qn","Agree"
"33","16516",1,"know","Mod","MO","E","none",3562.5,2,"diamond2.png",NA,"qn","Agree"
"34","16516",1,"know","Mod","MO","E","none",3562.5,2,"diamond1.png",NA,"qn","Agree"
"35","16516",2,"know","Mod","MS","E","none",5229,2,"hearts1.png",NA,"qn","Agree"
"36","16516",2,"know","Mod","MS","E","none",5229,2,"hearts2.png",NA,"qn","Agree"
"37","16516",3,"know","Mod","MA","E","none",6916.5,2,"jack2.png",NA,"qn","Agree"
"38","16516",3,"know","Mod","MA","E","none",6916.5,2,"jack1.png",NA,"qn","Agree"
"39","16516",4,"know","Mod","MF","E","none",5182,2,"queen1.png",NA,"qn","Disagree"
"40","16516",4,"know","Mod","MF","E","none",5182,2,"queen2.png",NA,"qn","Disagree"
"41","16516",5,"say","Mod","MO","E","none",3095,2,"king1.png",NA,"qn","Agree"
"42","16516",5,"say","Mod","MO","E","none",3095,2,"king2.png",NA,"qn","Agree"
"43","16516",6,"say","Mod","MS","E","none",4482,2,"face2.png",NA,"qn","Disagree"
"44","16516",6,"say","Mod","MS","E","none",4482,2,"face1.png",NA,"qn","Agree"
"45","16516",7,"say","Mod","MA","E","none",5156.5,2,"number1.png",NA,"qn","Agree"
"46","16516",7,"say","Mod","MA","E","none",5156.5,2,"number2.png",NA,"qn","Agree"
"47","16516",8,"say","Mod","MF","E","none",5663.5,2,"ace2.png",NA,"qn","Disagree"
"48","16516",8,"say","Mod","MF","E","none",5663.5,2,"ace1.png",NA,"qn","Disagree"
"49","16516",9,"know","NoMod","MO","E","none",7829.5,2,"ten2.png",NA,"qn","Agree"
"50","16516",9,"know","NoMod","MO","E","none",7829.5,2,"ten1.png",NA,"qn","Agree"
"51","16516",10,"know","NoMod","MS","E","none",4800.5,2,"eight2.png",NA,"qn","Agree"
"52","16516",10,"know","NoMod","MS","E","none",4800.5,2,"eight1.png",NA,"qn","Agree"
"53","16516",11,"know","NoMod","MA","E","none",8014.5,2,"six2.png",NA,"qn","Agree"
"54","16516",11,"know","NoMod","MA","E","none",8014.5,2,"six1.png",NA,"qn","Agree"
"55","16516",12,"know","NoMod","MF","E","none",3876.5,2,"four2.png",NA,"qn","Disagree"
"56","16516",12,"know","NoMod","MF","E","none",3876.5,2,"four1.png",NA,"qn","Disagree"
"57","16516",13,"say","NoMod","MO","E","none",7127.5,2,"red1.png",NA,"qn","Agree"
"58","16516",13,"say","NoMod","MO","E","none",7127.5,2,"red2.png",NA,"qn","Agree"
"59","16516",14,"say","NoMod","MS","E","none",5048.5,2,"black1.png",NA,"qn","Agree"
"60","16516",14,"say","NoMod","MS","E","none",5048.5,2,"black2.png",NA,"qn","Agree"
"61","16516",15,"say","NoMod","MA","E","none",9163.5,2,"spade2.png",NA,"qn","Agree"
"62","16516",15,"say","NoMod","MA","E","none",9163.5,2,"spade1.png",NA,"qn","Agree"
"63","16516",16,"say","NoMod","MF","E","none",9101,2,"club1.png",NA,"qn","Disagree"
"64","16516",16,"say","NoMod","MF","E","none",9101,2,"club2.png",NA,"qn","Disagree"
"65","16558",1,"know","Mod","MO","D","none",7478,2,"club2.png",NA,"qn","Disagree"
"66","16558",1,"know","Mod","MO","D","none",7478,2,"club1.png",NA,"qn","Disagree"
"67","16558",2,"know","Mod","MS","D","none",7281.5,2,"diamond1.png",NA,"qn","Disagree"
"68","16558",2,"know","Mod","MS","D","none",7281.5,2,"diamond2.png",NA,"qn","Agree"
"69","16558",3,"know","Mod","MA","D","none",5619,2,"hearts1.png",NA,"qn","Agree"
"70","16558",3,"know","Mod","MA","D","none",5619,2,"hearts2.png",NA,"qn","Agree"
"71","16558",4,"know","Mod","MF","D","none",5586,2,"jack1.png",NA,"qn","Disagree"
"72","16558",4,"know","Mod","MF","D","none",5586,2,"jack2.png",NA,"qn","Disagree"
"73","16558",5,"say","Mod","MO","D","none",5415.5,2,"queen2.png",NA,"qn","Agree"
"74","16558",5,"say","Mod","MO","D","none",5415.5,2,"queen1.png",NA,"qn","Agree"
"75","16558",6,"say","Mod","MS","D","none",4396.5,2,"king2.png",NA,"qn","Agree"
"76","16558",6,"say","Mod","MS","D","none",4396.5,2,"king1.png",NA,"qn","Agree"
"77","16558",7,"say","Mod","MA","D","none",4781.5,2,"face2.png",NA,"qn","Agree"
"78","16558",7,"say","Mod","MA","D","none",4781.5,2,"face1.png",NA,"qn","Agree"
"79","16558",8,"say","Mod","MF","D","none",16020.5,2,"number1.png",NA,"qn","Agree"
"80","16558",8,"say","Mod","MF","D","none",16020.5,2,"number2.png",NA,"qn","Disagree"
"81","16558",9,"know","NoMod","MO","D","none",3392.5,2,"ace2.png",NA,"qn","Agree"
"82","16558",9,"know","NoMod","MO","D","none",3392.5,2,"ace1.png",NA,"qn","Agree"
"83","16558",10,"know","NoMod","MS","D","none",5356.5,2,"ten1.png",NA,"qn","Agree"
"84","16558",10,"know","NoMod","MS","D","none",5356.5,2,"ten2.png",NA,"qn","Agree"
"85","16558",11,"know","NoMod","MA","D","none",7121.5,2,"eight2.png",NA,"qn","Agree"
"86","16558",11,"know","NoMod","MA","D","none",7121.5,2,"eight1.png",NA,"qn","Agree"
"87","16558",12,"know","NoMod","MF","D","none",6104,2,"six1.png",NA,"qn","Disagree"
"88","16558",12,"know","NoMod","MF","D","none",6104,2,"six2.png",NA,"qn","Disagree"
"89","16558",13,"say","NoMod","MO","D","none",5481,2,"four1.png",NA,"qn","Agree"
"90","16558",13,"say","NoMod","MO","D","none",5481,2,"four2.png",NA,"qn","Agree"
"91","16558",14,"say","NoMod","MS","D","none",4673.5,2,"red2.png",NA,"qn","Agree"
"92","16558",14,"say","NoMod","MS","D","none",4673.5,2,"red1.png",NA,"qn","Agree"
