randomized_combo,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
1,Token 1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect1,mammal1,bird1,reptile1
11,Token 1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect1,mammal1,bird1
15,Token 1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect1,mammal1
4,Token 1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect1
8,Token 1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit
18,Token 1,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish
2,Token 2,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile
12,Token 2,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird
13,Token 2,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal
5,Token 2,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit,insect
9,Token 2,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish,fruit
16,Token 2,fruit,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile,fish
3,Token 3,fish,fruit,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird,reptile
10,Token 3,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal,bird
14,Token 3,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect,mammal
6,Token 3,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit,insect
7,Token 3,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1,fruit
17,Token 3,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit1,insect1,mammal1,bird1,reptile1,fish1
randomized_combo,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,Token 4,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile
11,Token 4,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird
15,Token 4,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal
4,Token 4,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect
8,Token 4,insect,mammal,,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit
18,Token 4,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish
2,Token 5,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile
12,Token 5,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird
13,Token 5,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal
5,Token 5,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect
9,Token 5,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit
16,Token 5,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish
3,Token 6,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile
10,Token 6,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird
14,Token 6,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal
6,Token 6,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect
7,Token 6,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit
17,Token 6,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish,fruit,insect,mammal,bird,reptile,fish
