Token,MatchingCategory,MismatchingCategory
alligators,reptiles,mamals
crocodiles,reptiles,mamals
chameleons,reptiles,mamals
iguanas,reptiles,mamals
lizards,reptiles,mamals
geckos,reptiles,mamals
anchovies,fishes,birds
carp,fishes,birds
cod,fishes,birds
piranhas,fishes,birds
mackerels,fishes,birds
herring,fishes,birds
eagles,birds,reptiles
canaries,birds,reptiles
crows,birds,reptiles
owls,birds,reptiles
sparrows,birds,reptiles
doves,birds,reptiles
cats,mammals,fruit
horses,mammals,fruit
dogs,mammals,fruit
pigs,mammals,fruit
elephants,mammals,fruit
sheep,mammals,fruit
wasps,insects,fishes
cockroaches,insects,fishes
cicadas,insects,fishes
ants,insects,fishes
flies,insects,fishes
mosquitos,insects,fishes
strawberries,fruit,insects
bananas,fruit,insects
apples,fruit,insects
peaches,fruit,insects
pears,fruit,insects
plums,fruit,insects
