,ImageName,MO,MS,MA,MF,MA-F
1,red1.png,A,A and B,"A, B, D, and F",C,CE
2,black1.png,D,B and D,"A, B, D, and F",C,CE
3,spade1.png,C,B and C,"B, C, E, and F",A,AD
4,club1.png,A,A and C,"A, C, D, and F",B,BD
5,diamond1.png,E,D and E,"A, B, D, and E",C,CF
6,heart1.png,F,C and F,"A, C, D, and F",B,BE
7,jack1.png,A,A and B,"A, B, D, and F",E,CE
8,queen1.png,B,B and C,"A, B, C, and E",D,DF
9,king1.png,D,D and E,"A, B, D, and E",C,CE
10,face1.png,C,C and D,"A, C, D, and E",F,BF
11,number1.png,F,C and F,"C, D, E, and F",A,AB
12,ace1.png,B,B and C,"B, C, E, and F",D,AD
13,ten1.png,C,C and D,"B, C, D, and F",E,AE
14,eight1.png,D,B and D,"B, C, D, and E",A,AF
15,six1.png,A,A and B,"A, B, C, and F",D,DE
16,four1.png,F,A and F,"A, B, D, and F",E,CE
17,red2.png,F,D and F,"B, C, D, and F",A,AE
18,black2.png,B,B and C,"B, C, D, and F",E,AE
19,spade2.png,E,B and E,"A, B, C, and E",D,DF
20,club2.png,C,B and C,"B, C, D, and E",F,AF
21,diamond2.png,A,A and B,"A, B, E, and F",C,CD
22,heart2.png,B,B and E,"A, B, C, and E",D,DF
23,jack2.png,A,A and C,"A, C, E, and F",B,BD
24,queen2.png,F,E and F,"B, C, E, and F",A,AD
25,king2.png,C,C and D,"A, C, D, and F",E,BE
26,face2.png,B,B and C,"B, C, D, and F",A,AE
27,number2.png,A,A and B,"A, B, D, and F",C,CE
28,ace2.png,E,C and E,"A, B, C, and E",D,DF
29,ten2.png,F,A and F,"A, B, E, and F",C,CD
30,eight2.png,B,A and B,"A, B, D, and E",F,CF
31,six2.png,D,D and E,"B, D, E, and F",A,AC
32,four2.png,E,B and E,"B, D, E, and F",C,AC
