,Study,SentNumber,Quantifier,Matrix,WhichCategory,Subject,Predicate,SentType,Verb,Embedded,Token,MatchingCategory,MismatchingCategory,Group
0,BN,1,some,,Matching,Token,Category,T1,none,0,alligators,reptiles,mamals,A
1,BN,1,some,,Matching,Token,Category,T1,none,0,cats,mammals,fruit,A
2,BN,1,some,,Matching,Token,Category,T1,none,0,crocodiles,reptiles,mamals,B
3,BN,1,some,,Matching,Token,Category,T1,none,0,horses,mammals,fruit,B
4,BN,1,some,,Matching,Token,Category,T1,none,0,chameleons,reptiles,mamals,C
5,BN,1,some,,Matching,Token,Category,T1,none,0,dogs,mammals,fruit,C
6,BN,1,some,,Matching,Token,Category,T1,none,0,iguanas,reptiles,mamals,D
7,BN,1,some,,Matching,Token,Category,T1,none,0,pigs,mammals,fruit,D
8,BN,1,some,,Matching,Token,Category,T1,none,0,lizards,reptiles,mamals,E
9,BN,1,some,,Matching,Token,Category,T1,none,0,elephants,mammals,fruit,E
10,BN,1,some,,Matching,Token,Category,T1,none,0,geckos,reptiles,mamals,F
11,BN,1,some,,Matching,Token,Category,T1,none,0,sheep,mammals,fruit,F
12,BN,1,some,,Matching,Token,Category,T1,none,0,anchovies,fishes,birds,G
13,BN,1,some,,Matching,Token,Category,T1,none,0,wasps,insects,fishes,G
14,BN,1,some,,Matching,Token,Category,T1,none,0,carp,fishes,birds,H
15,BN,1,some,,Matching,Token,Category,T1,none,0,cockroaches,insects,fishes,H
16,BN,1,some,,Matching,Token,Category,T1,none,0,cod,fishes,birds,I
17,BN,1,some,,Matching,Token,Category,T1,none,0,cicadas,insects,fishes,I
18,BN,1,some,,Matching,Token,Category,T1,none,0,piranhas,fishes,birds,J
19,BN,1,some,,Matching,Token,Category,T1,none,0,ants,insects,fishes,J
20,BN,1,some,,Matching,Token,Category,T1,none,0,mackerels,fishes,birds,K
21,BN,1,some,,Matching,Token,Category,T1,none,0,flies,insects,fishes,K
22,BN,1,some,,Matching,Token,Category,T1,none,0,herring,fishes,birds,L
23,BN,1,some,,Matching,Token,Category,T1,none,0,mosquitos,insects,fishes,L
24,BN,1,some,,Matching,Token,Category,T1,none,0,eagles,birds,reptiles,M
25,BN,1,some,,Matching,Token,Category,T1,none,0,strawberries,fruit,insects,M
26,BN,1,some,,Matching,Token,Category,T1,none,0,canaries,birds,reptiles,N
27,BN,1,some,,Matching,Token,Category,T1,none,0,bananas,fruit,insects,N
28,BN,1,some,,Matching,Token,Category,T1,none,0,crows,birds,reptiles,O
29,BN,1,some,,Matching,Token,Category,T1,none,0,apples,fruit,insects,O
30,BN,1,some,,Matching,Token,Category,T1,none,0,owls,birds,reptiles,P
31,BN,1,some,,Matching,Token,Category,T1,none,0,peaches,fruit,insects,P
32,BN,1,some,,Matching,Token,Category,T1,none,0,sparrows,birds,reptiles,Q
33,BN,1,some,,Matching,Token,Category,T1,none,0,pears,fruit,insects,Q
34,BN,1,some,,Matching,Token,Category,T1,none,0,doves,birds,reptiles,R
35,BN,1,some,,Matching,Token,Category,T1,none,0,plums,fruit,insects,R
36,BN,2,some,Zoologists know that,Matching,Token,Category,T1,know,1,crocodiles,reptiles,mamals,A
37,BN,2,some,Zoologists know that,Matching,Token,Category,T1,know,1,horses,mammals,fruit,A
38,BN,2,some,Zoologists know that,Matching,Token,Category,T1,know,1,chameleons,reptiles,mamals,B
39,BN,2,some,Zoologists know that,Matching,Token,Category,T1,know,1,dogs,mammals,fruit,B
40,BN,2,some,Zoologists know that,Matching,Token,Category,T1,know,1,iguanas,reptiles,mamals,C
41,BN,2,some,Zoologists know that,Matching,Token,Category,T1,know,1,pigs,mammals,fruit,C
