,Study,SentNumber,Verb,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group
0,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,salmon,fishes,birds,A
1,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,bears,mammals,fruit,A
2,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,tunas,fishes,birds,B
3,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,monkeys,mammals,fruit,B
4,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,trouts,fishes,birds,C
5,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,cows,mammals,fruit,C
6,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,cobras,reptiles,mammals,D
7,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,ticks,insects,fishes,D
8,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,tortoises,reptiles,mammals,E
9,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,beetles,insects,fishes,E
10,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,pythons,reptiles,mammals,F
11,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,bees,insects,fishes,F
12,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,parrots,birds,reptiles,G
13,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,watermellon,fruits,insects,G
14,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,pigeons,birds,reptiles,H
15,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,kiwis,fruits,insects,H
16,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,vultures,birds,reptiles,I
17,CB,1,know,Matching,Zoologists know that,Token,Category,T4,0,1,expert,oranges,fruits,insects,I
18,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,tunas,fishes,birds,A
19,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,monkeys,mammals,fruit,A
